,hotel_name,rating,room_description,price,location_descirption,long_description
33,AC Hotel Diagonal L'Illa by Marriott,8.6,"Standard King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","€ 1,654","Les Corts, BarcelonaShow on map2.9 km from centre","AC Hotel Diagonal L´Illa offers accommodation in Barcelona, 1.8 km from Camp Nou. Guests can enjoy the on-site restaurants,  paid parking located at commercial center.

Free WiFi is available throughout the hotel.

Every room at this hotel has plush bedding, a flat-screen TV and a spacious work desk. Every room includes a private bathroom equipped with a shower and free toiletries.

You will find a 24-hour front desk at the property. Surrounded by lush gardens, the property is near many upscale boutiques and restaurants.

The Suite Bar is a modern, welcoming space on the hotel’s second floor. Its contemporary décor and lighting make it an ideal spot to enjoy a drink.

The Picasso Museum is 3.8 km from AC Hotel Diagonal L´Illa, while La Pedrera is 2.2 km from the property. The nearest airport is El Prat Airport, 11 km away."
34,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,8.4,"Double or Twin Room
1 large double bed
Free cancellation","€ 1,354","Eixample, BarcelonaShow on map1.5 km from centreMetro accessBeach nearby","Offering a rooftop pool with a large sun terrace, TWO Hotel Barcelona by Axel is located in the heart of the gay district of Barcelona, 2 km from Barceloneta Beach.

The hetero-friendly hotel offers on-site private parking. There is also a  24-hour reception and guests can get information on the gay scene and the city at the on-site tour desk. On the rooftop guests will also find the Sky bar, gym, steam bath and a massage room.

Each room here will provide you with air conditioning and a minibar. Featuring a shower, private bathroom also comes with a hairdryer. A safety deposit box and a universal phone charger are also provided.

Guests can sample a drink at the rooftop bar, whilst taking in stunning city views or enjoy the delicious cocktails served in the Lounge Bar. A buffet breakfast is available and free high-speed WiFi access is provided throughout.

Staff can give information about the surrounding area, which is known as ""Gayxample"" because of its lively gay nightlife.

The hotel is 2 minutes' walk from Rocafort Metro Station and Plaça d'Espanya, with direct buses to Barcelona Airport, is a 10-minute walk away. Paral·lel, with bars, restaurants, clubs and theatres is 1.3 km from TWO Hotel Barcelona by Axel."
35,Aparthotel Napols - Abapart,8.3,"One-Bedroom Apartment (2 Adults)
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 40m²
1 double bed
Free cancellation","€ 1,670","Eixample, BarcelonaShow on map1.2 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Aparthotel Napols - Abapart! To save at this property, all you have to do is sign in.
Aparthotel Napols is centrally located, 350 metres from Barcelona’s Arc de Triomf Metro Station. Air-conditioned rooms feature a well-equipped kitchen, and a living room with sofa and TV.

Estació de Nord Bus Station is 5 minutes’ walk away, and has direct connections to Girona Airport. You can walk to Plaza Catalunya and the Rambla in 15 minutes. There is free WiFi in the apartments.

Soundproofed rooms at the Napols have a safe and minibar. The private bathroom comes with amenities.

The modern kitchen has a fridge, microwave and coffee maker. There is a dishwasher and dining area.

The complex has a 24-hour reception and a shared terrace. You can hire a car, and Napols offers a laundry service and luggage storage."
36,08028 Apartments,8.8,"Twin Room - No Kitchen
2 single beds
Only 7 rooms left at this price on our site",€ 985,"Les Corts, BarcelonaShow on map3.3 km from centreMetro access","You're eligible for a Genius discount at 08028 Apartments! To save at this property, all you have to do is sign in.
08028 Apartments are situated next to Les Corts Metro Station and 5 minutes’ walk from Barcelona’s Camp Nou Football Stadium. The modern apartments share a rooftop pool with views of Barcelona.

Apartments and suites at the 08028 feature contemporary design and free Wi-Fi. Apartments include a balcony, lounge area and a fitted kitchen.

The Taberna Lizarran at the 08028 Apartments serves traditional Spanish cuisine, including tapas.

The 08028 Apartments are a 15-minute walk from Sants Train Station. Plaza Catalunya and the famous Las Ramblas can be reached in around 20 minutes, by Metro."
37,Stylish Apartments,9.4,"Deluxe Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²
4 beds (2 singles, 1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 5,156","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Stylish Apartments! To save at this property, all you have to do is sign in.
Stylish Apartments is a self-catering accommodation located in various places within a small area in central Barcelona. Free WiFi access is available. The property is a short walk from La Pedrera and Passeig de Gràcia Boulevard.

The modern apartments will provide you with air conditioning and a seating area. There is a full a kitchenette with a dishwasher and a microwave. Featuring a bath or shower, private bathroom also comes with a hairdryer. You can enjoy city view from the rooms."
38,Chi,8.8,"Double Room
Beds: 1 double or 2 singles
Only 2 rooms left at this price on our site","€ 1,419","Eixample, BarcelonaShow on map1.6 km from centreMetro access","You're eligible for a Genius discount at Chi! To save at this property, all you have to do is sign in.
Located in Barcelona’s Eixample District, beside Rocafort Metro Station and 15 minutes’ walk from Plaza Catalunya,  Chi Hotel offers rooms with air-conditioning and heating (depending on the season) and free WiFi.

The modern rooms include a flat-screen TV, minibar, safe and a private bathroom with free toiletries and a hairdryer.

There is a 24-hour front desk at the property. Staff can help with tourist information and car hire.

You will find many shops, restaurants and bars in the surrounding area."
39,Catalonia Albeniz,8.6,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,770","Sant Martí, BarcelonaShow on map2.7 km from centreMetro accessBeach nearby","Catalonia Albeniz offers spacious, air-conditioned rooms with free WiFi and satellite TV. It is situated 150 metres from Clot Train Station, and a 15-minute walk from Gaudí’s Sagrada Familia Church.

The property has a gym and an outdoor pool. You can also use the luggage storage facility on site at the Albeniz.

The varied buffet breakfast at the Catalonia Albeniz includes typical local dishes, such as potato omelette and bread with tomato.

The Albeniz offers bright, modern rooms with simple décor and wooden floors. Each room includes a minibar and a marble bathroom with a hair dryer, plus a safe. All hotel rooms have smart TVs, which are equipped with Chromecast app.

Catalonia Albeniz is just 700 metres from the shops and restaurants of Glòries Shopping Centre, while Encants Flea Market is a 5-minute walk away. Metro services and direct airport trains are available from nearby Clot Station."
40,Catalonia Avinyo,8.5,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,360","Ciutat Vella, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","Situated 200 metres from Las Ramblas in central Barcelona, Catalonia Avinyo features a rooftop pool and gym. It offers chic, air-conditioned rooms with satellite TV and free Wi-Fi.

Rooms are decorated in a modern, minimalist style with large wall photos. They include a minibar, safe and telephone. All hotel rooms have smart TVs, which are equipped with Chromecast app. The modern bathrooms have a shower and a hairdryer.

Barceloneta Beach is a 15-minute walk from Hotel Catalonia Avinyo. The Liceu and Jaume I Metro Stations are just 300 metres away and Barcelona Cathedral is 4 minutes' walk away.

The Avinyo’s central location means there are many shops, bars and restaurants close to the hotel. Bicycle and car hire can be arranged at the tour desk."
41,The Streets Apartments Rambla,9.2,"Standard Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
1 large double bed
Only 5 left at this price on our site","€ 2,035","Ciutat Vella, BarcelonaShow on map1 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at The Streets Apartments Rambla! To save at this property, all you have to do is sign in.
The Streets Apartments Rambla provides accommodation within less than 1 km of the centre of Barcelona, with free WiFi, and a kitchen with a dishwasher, a microwave and a toaster. Featuring a lift, this property also provides guests with a sun terrace. When staying at the apartment, guests can use private entrance.

At the apartment complex, all units have a desk, a flat-screen TV, a private bathroom, bed linen and towels. All units are air conditioned and include a seating and/or dining area. The units include a wardrobe.

Sightseeing tours are available near the property.

Popular points of interest near The Streets Apartments Rambla include Sant Sebastian Beach, Sant Miquel Beach and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from the accommodation."
42,Catalonia Born,8.7,"Double Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,299","Ciutat Vella, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby","Set in a 19th-century building in Barcelona’s El Born district, Catalonia Born offers a rooftop pool, an attractive central courtyard and free Wi-Fi. Arc de Triomf Metro Station is 250 metres away.

The classic rooms at Catalonia Born Hotel come with an elegant marble bathroom. They also include a satellite TV and centrally controlled heating or air conditioning, depending on the season.

A buffet breakfast is served, and the snack bar is open for lunch and dinner. There is also a bar in the lobby.

Located minutes from França Train Station, the hotel is well-connected to the rest of the city and its surroundings. Car rental is also available from the tour desk."
